"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHIVM","2021-09-08","1565","1569","1515","1518","-3.25","30674"
"SHIVM","2021-09-07","1630","1630","1558","1569","-3.39","36832"
"SHIVM","2021-09-06","1515","1624","1503","1624","7.27","55887"
"SHIVM","2021-09-05","1550","1569","1492","1514","-3.63","75820"
"SHIVM","2021-09-02","1600","1655","1559","1571","-3.08","57195"
"SHIVM","2021-09-01","1650","1659.9","1610","1621","-0.25","51789"
"SHIVM","2021-08-31","1700","1705","1618","1625","-4.41","78644"
"SHIVM","2021-08-29","1700","1754","1681","1700","1.13","107151"
"SHIVM","2021-08-26","1699","1715","1657.2","1681","-1.06","66917"
"SHIVM","2021-08-25","1725","1749.8","1686","1699","-2.91","122362"
"SHIVM","2021-08-24","1836","1836","1740","1750","-2.78","109255"
"SHIVM","2021-08-19","1828.8","1910","1793","1800","0.39","176321"
"SHIVM","2021-08-18","1649","1793","1640","1793","10.00","239956"
"SHIVM","2021-08-17","1610","1666","1600","1630","1.56","103604"
"SHIVM","2021-08-16","1590","1642.2","1590","1605","0.50","78141"
"SHIVM","2021-08-15","1617","1670","1584","1597","-1.24","126070"
"SHIVM","2021-08-12","1587","1643","1539","1617","3.92","158066"
"SHIVM","2021-08-11","1575.9","1575.9","1545","1556","0.71","30966"
"SHIVM","2021-08-10","1550","1550","1525","1545","1.38","32341"
"SHIVM","2021-08-09","1550","1550","1520","1524","-1.49","22457"
"SHIVM","2021-08-08","1546","1565","1545","1547","0.14","22675"
"SHIVM","2021-08-05","1570","1572","1532","1544.9","-0.97","32217"
"SHIVM","2021-08-04","1550","1601","1550","1560","0.71","63137"
"SHIVM","2021-08-03","1560","1570","1539","1549","0.13","21511"
"SHIVM","2021-08-02","1542","1570","1532","1547","0.32","27233"
"SHIVM","2021-08-01","1552","1580","1540","1542","-1.15","26812"
